Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	AHR	Exception	Energy Diff (wl)	Energy Par (wl)	From
268	Spectrogram 1	1	3015.528	3015.568	3846.2	19230.8	7226.6	Twitter	0	0	0	0	0	0	0
269	Spectrogram 1	1	3015.623	3015.687	2884.6	16586.5	7421.9	Twitter	0	0	0	0	0	0	0
270	Spectrogram 1	1	3015.740	3015.787	3846.2	15625.0	7421.9	Twitter	0	0	0	0	0	0	0
271	Spectrogram 1	1	3015.848	3015.896	3125.0	18028.8	7226.6	Twitter	0	0	0	0	0	0	0
272	Spectrogram 1	1	3015.946	3015.999	3605.8	17788.5	7226.6	Twitter	0	0	0	0	0	0	0
273	Spectrogram 1	1	3016.043	3016.096	2644.2	17548.1	7226.6	Twitter	0	0	0	0	0	0	0
274	Spectrogram 1	1	3016.132	3016.190	4807.7	15625.0	8007.8	Twitter	0	0	0	0	0	0	0
129	Spectrogram 1	1	3292.034	3292.102	4000.0	18000.0	8007.8	Trill	4.800044	7.539819	59.202106	3.046161			
158	Spectrogram 1	1	3557.960	3558.316	4000.0	18000.0	7226.6	Trill	7.281547	11.257611	79.112607	4.906330			
159	Spectrogram 1	1	3558.446	3558.880	4000.0	18000.0	7226.6	Trill	6.487719	10.142364	75.136224	4.411868			
278	Spectrogram 1	1	3559.990	3560.032	4326.9	17548.1	8398.4	Twitter	0	0	0	0	0	0	0
160	Spectrogram 1	1	3560.110	3560.130	4000.0	18000.0	8398.4	Tse	9.801088	20.005460	58.316322	0.000000			
277	Spectrogram 1	1	3560.238	3560.261	3365.4	18509.6	7812.5	Twitter	0	0	0	0	0	0	0
161	Spectrogram 1	1	3560.340	3560.360	4000.0	18000.0	7812.5	Twitter	10.655889	18.452080	48.132869	0.000000			
162	Spectrogram 1	1	3560.450	3560.480	4000.0	18000.0	7812.5	Twitter	9.774026	19.138639	50.599273	0.000000			
163	Spectrogram 1	1	3560.550	3560.580	4000.0	18000.0	7812.5	Twitter	9.210879	18.262131	66.658201	0.000000			
164	Spectrogram 1	1	3560.650	3560.690	4000.0	18000.0	8203.1	Twitter	6.831936	15.816492	68.949363	0.000000			
165	Spectrogram 1	1	3562.600	3562.710	4000.0	18000.0	6835.9	Twitter	8.955715	18.461543	95.601589	0.000000			
166	Spectrogram 1	1	3562.820	3562.850	4000.0	18000.0	9179.7	Twitter	7.934193	16.845483	69.245761	0.000000			
167	Spectrogram 1	1	3562.920	3562.950	4000.0	18000.0	7812.5	Twitter	9.092602	17.966644	62.892273	0.000000			
168	Spectrogram 1	1	3563.040	3563.060	4000.0	18000.0	7812.5	Tse	10.870139	18.973734	58.163628	0.000000			
169	Spectrogram 1	1	3563.150	3563.180	4000.0	18000.0	7617.2	Twitter	8.095202	15.772487	55.715039	0.000000			
170	Spectrogram 1	1	3563.260	3563.290	4000.0	18000.0	7421.9	Twitter	10.143569	19.490698	70.708549	0.000000			
171	Spectrogram 1	1	3563.360	3563.410	4000.0	18000.0	7031.2	Twitter	7.499192	15.050907	92.551479	0.000000			
172	Spectrogram 1	1	3609.620	3609.968	4000.0	18000.0	6835.9	Trill	6.131639	7.469459	57.688352	3.549649			
176	Spectrogram 1	1	3724.604	3725.108	3703.7	18287.0	7031.2	Trill	0	0	0	0			
177	Spectrogram 1	1	3725.317	3725.768	3703.7	17824.1	8203.1	Phee	0	0	0	0			
178	Spectrogram 1	1	3725.953	3726.483	3703.7	18055.6	8203.1	Phee	0	0	0	0			
180	Spectrogram 1	1	3771.441	3771.858	4000.0	18000.0	7421.9	Trill	6.877428	9.957660	73.522103	4.531048			
188	Spectrogram 1	1	4081.180	4081.812	4000.0	18000.0	8398.4	Trill	4.385490	5.997995	37.511599	1.595448			
189	Spectrogram 1	1	4081.972	4082.445	3935.2	18287.0	8398.4	Phee	0	0	0	0			
281	Spectrogram 1	1	4099.415	4099.881	3125.0	16826.9	7617.2	Trill	0	0	0	0	0	0	0
195	Spectrogram 1	1	4100.612	4100.746	4000.0	18000.0	8007.8	P-peep	4.164752	4.741059	28.416961	0.125053			
201	Spectrogram 1	1	4284.369	4284.879	3935.2	17824.1	6835.9	Trill	0	0	0	0			
282	Spectrogram 1	1	4324.978	4325.030	4567.3	17307.7	7617.2	P-peep	0	0	0	0	0	0	0
206	Spectrogram 1	1	4330.024	4330.494	4000.0	18000.0	6835.9	Trill	5.615779	10.149786	57.920479	3.349964			
209	Spectrogram 1	1	4376.830	4376.980	4000.0	18000.0	7226.6	Trill	6.543909	11.546857	82.861595	0.000000			
210	Spectrogram 1	1	4377.160	4377.180	4000.0	18000.0	8593.7	Tse	9.765742	18.073492	54.009368	0.000000			
211	Spectrogram 1	1	4377.370	4377.410	4000.0	18000.0	8007.8	Twitter	7.508435	16.992673	64.811123	0.000000			
212	Spectrogram 1	1	4377.490	4377.520	4000.0	18000.0	8007.8	Twitter	8.679295	18.768128	53.359915	0.000000			
213	Spectrogram 1	1	4377.590	4377.620	4000.0	18000.0	8007.8	Twitter	9.200038	19.079122	60.989930	0.000000			
214	Spectrogram 1	1	4377.680	4377.720	4000.0	18000.0	7812.5	Twitter	7.460274	15.892836	69.931016	0.000000			
215	Spectrogram 1	1	4377.790	4377.830	4000.0	18000.0	7812.5	Twitter	8.865737	18.020105	70.008083	0.000000			
216	Spectrogram 1	1	4377.890	4377.930	4000.0	18000.0	8593.7	Twitter	8.224835	17.967354	82.520879	0.000000			
2	Spectrogram 1	2	42.324	42.410	4000.0	18000.0	8398.4	Trill	4.783977	9.956827	56.736149	2.937258			
4	Spectrogram 1	2	83.802	83.930	4000.0	18000.0	7812.5	Trill	6.474537	9.054413	52.353782	3.386144			
254	Spectrogram 1	2	200.589	200.898	3605.8	17548.1	5664.1	Trill	0	0	0	0	0	0	0
24	Spectrogram 1	2	492.560	492.689	3282.8	15404.0	7617.2	Phee	0	0	0	0			
45	Spectrogram 1	2	901.882	901.939	2777.8	16414.1	3710.9	P-peep	0	0	0	0			
58	Spectrogram 1	2	1149.668	1149.988	4000.0	18000.0	7812.5	Trill	6.720018	10.748044	37.489995	2.155398			
258	Spectrogram 1	2	1546.288	1546.388	4086.5	18028.8	7226.6	Phee	0	0	0	0	0	0	0
79	Spectrogram 1	2	2823.914	2823.981	2525.3	17171.7	7031.2	Trill	0	0	0	0			
80	Spectrogram 1	2	2824.090	2824.176	4000.0	18000.0	7812.5	Trill	5.258644	8.658892	43.413679	2.362960			
82	Spectrogram 1	2	2832.172	2832.438	4000.0	18000.0	7617.2	Trill	6.049502	9.303716	56.199229	3.442187			
87	Spectrogram 1	2	2862.565	2862.717	3240.7	18287.0	8593.7	P-peep	0	0	0	0			
262	Spectrogram 1	2	2940.883	2941.085	4567.3	16826.9	8203.1	Sd-peep	0	0	0	0	0	0	0
263	Spectrogram 1	2	2941.202	2941.288	3125.0	17067.3	7421.9	Sd-peep	0	0	0	0	0	0	0
275	Spectrogram 1	2	3079.251	3079.337	2884.6	17548.1	9570.3	Sd-peep	0	0	0	0	0	0	0
276	Spectrogram 1	2	3079.376	3079.442	2644.2	17307.7	7617.2	Sd-peep	0	0	0	0	0	0	0
112	Spectrogram 1	2	3103.912	3104.034	4000.0	18000.0	4492.2	Sd-peep	7.154097	10.150140	30.262389	0.828726			
179	Spectrogram 1	2	3726.702	3726.854	3935.2	17592.6	7617.2	P-peep	0	0	0	0			
280	Spectrogram 1	2	4009.242	4009.555	4326.9	18750.0	8593.7	Trill	0	0	0	0	0	0	0
196	Spectrogram 1	2	4102.784	4102.882	4000.0	18000.0	8203.1	Trill	4.975240	8.230919	54.529855	2.921662			
198	Spectrogram 1	2	4135.387	4135.453	2525.3	16919.2	8789.1	Trill	0	0	0	0			
204	Spectrogram 1	2	4308.703	4308.738	3472.2	18055.6	6640.6	Tse	0	0	0	0			
205	Spectrogram 1	2	4308.948	4309.013	4166.7	18287.0	8398.4	P-peep	0	0	0	0			
242	Spectrogram 1	5	57.410	58.070	4000.0	18000.0	7226.6	Trill	3.754859	8.245713	49.874237	0.000000	1.099219	3.270680	Table 1
6	Spectrogram 1	5	114.431	115.047	3703.7	17824.1	8007.8	Trill	0	0	0	0			
8	Spectrogram 1	5	121.172	121.800	4000.0	18000.0	8789.1	Trillphee	2.280543	1.336187	49.338208	0.329878			
9	Spectrogram 1	5	121.968	122.372	4166.7	17592.6	4296.9	Phee							
10	Spectrogram 1	5	138.574	139.230	3703.7	17361.1	8984.4	Trill	0	0	0	0			
243	Spectrogram 1	5	169.580	169.680	4000.0	18000.0	8007.8	Trill	5.350843	7.027793	42.721176	0.000000	1.162647	2.450020	Table 1
11	Spectrogram 1	5	175.096	175.326	4000.0	18000.0	8007.8	Trill	0.844365	1.346819	140.473774	0.393038			
12	Spectrogram 1	5	198.298	198.948	4000.0	18000.0	8007.8	Trill	1.144863	3.068435	53.013848	0.571474			
13	Spectrogram 1	5	214.178	214.798	4000.0	18000.0	8593.7	Phee	3.245208	4.061944	59.398837	1.503912			
17	Spectrogram 1	5	318.612	319.208	4000.0	18000.0	7031.2	Trill	5.234333	8.459002	48.238187	2.564497			
19	Spectrogram 1	5	437.308	437.388	4000.0	18000.0	7226.6	Trill	6.052788	10.054769	42.936422	2.595675			
20	Spectrogram 1	5	437.452	437.671	4000.0	18000.0	7421.9	Trill	2.392325	5.016849	28.314641	0.774172			
21	Spectrogram 1	5	450.544	450.809	4000.0	18000.0	7421.9	Trill	2.722152	4.159491	33.754089	0.864477			
218	Spectrogram 1	5	487.327	487.758	2970.3	17326.7	8007.8	Trill	0	0	0	0			
219	Spectrogram 1	5	487.849	488.131	3712.9	17574.3	9179.7	Phee	0	0	0	0			
25	Spectrogram 1	5	496.438	496.536	4000.0	18000.0	7421.9	Trill	1.412314	5.926609	44.175942	0.842182			
26	Spectrogram 1	5	496.582	496.692	4000.0	18000.0	7421.9	Trill	0.724733	4.378211	42.103981	0.436196			
225	Spectrogram 1	5	510.279	510.568	4207.9	17079.2	8203.1	Trill	0	0	0	0			
27	Spectrogram 1	5	618.744	618.872	4000.0	18000.0	8398.4	Trill	2.218541	4.371512	36.500065	0.850661			
36	Spectrogram 1	5	831.890	832.476	4000.0	18000.0	7031.2	Trill	1.324381	8.230182	48.888188	0.757006			
40	Spectrogram 1	5	856.634	857.044	4000.0	18000.0	7617.2	Trill	3.646508	6.140806	115.916127	3.569607			
42	Spectrogram 1	5	877.532	877.840	4000.0	18000.0	7617.2	Trill	2.609021	4.497135	39.145846	0.621744			
43	Spectrogram 1	5	891.542	891.682	4000.0	18000.0	6835.9	Trill	9.234365	11.982912	50.403484	3.230343			
232	Spectrogram 1	5	892.140	892.170	4000.0	18000.0	8984.4	P-peep	4.993167	4.511956	51.152517	0.000000	3.669937	3.944473	Table 1
44	Spectrogram 1	5	892.220	892.420	4000.0	18000.0	8984.4	P-peep	1.250887	3.901229	52.751898	0.343136			
46	Spectrogram 1	5	908.504	908.924	4000.0	18000.0	7421.9	Trill	4.153855	1.544510	42.326674	0.521889			
248	Spectrogram 1	5	999.701	999.829	3217.8	18069.3	7226.6	P-peep	0	0	0	0	0	0	0
59	Spectrogram 1	5	1316.620	1316.694	4000.0	18000.0	7031.2	Trill	6.337264	11.943759	40.375042	4.185209			
60	Spectrogram 1	5	1316.788	1316.820	4000.0	18000.0	7031.2	Trill	5.896696	10.485688	42.322995	4.074966			
229	Spectrogram 1	5	1546.570	1546.680	4000.0	18000.0	7226.6	Sd-peep	6.425497	16.323268	103.013556	0.000000	0.980804	5.871050	Table 1
64	Spectrogram 1	5	1558.368	1558.772	4000.0	18000.0	7031.2	Trill	1.652637	9.399545	52.929976	1.358250			
65	Spectrogram 1	5	1558.918	1559.163	2020.2	17929.3	7226.6	Trill	0	0	0	0			
66	Spectrogram 1	5	1560.018	1560.283	4000.0	18000.0	7031.2	Trill	1.309577	8.451879	39.920173	1.069135			
69	Spectrogram 1	5	1838.040	1838.126	4000.0	18000.0	6835.9	P-peep	1.251825	3.360002	92.550297	0.359039			
71	Spectrogram 1	5	1851.678	1852.111	4000.0	18000.0	7226.6	Trill	1.978242	6.254597	44.837692	1.562071			
73	Spectrogram 1	5	2292.382	2292.480	4000.0	18000.0	6640.6	Sd-peep	6.901957	9.050307	60.224664	3.730394			
224	Spectrogram 1	5	2306.496	2306.593	3217.8	17821.8	6445.3	P-peep	0	0	0	0			
83	Spectrogram 1	5	2836.954	2837.034	4000.0	18000.0	7226.6	Trill	1.289523	5.135529	50.501256	0.669779			
86	Spectrogram 1	5	2860.966	2861.058	4000.0	18000.0	7421.9	Trill	0.581567	3.560332	52.899507	0.353875			
97	Spectrogram 1	5	2895.852	2896.692	4000.0	18000.0	6835.9	Trillphee	3.401231	8.387223	44.425586	0.786606			
98	Spectrogram 1	5	2896.936	2897.244	4000.0	18000.0	8593.7	P-peep	4.204856	7.880978	48.829880	1.626896			
99	Spectrogram 1	5	3016.829	3016.882	2777.8	16919.2	11328.1	Twitter	0	0	0	0			
100	Spectrogram 1	5	3016.948	3016.998	1262.6	18939.4	8007.8	Twitter	0	0	0	0			
101	Spectrogram 1	5	3017.094	3017.156	4000.0	18000.0	8007.8	Twitter	4.910569	11.842526	34.670546	1.605387			
102	Spectrogram 1	5	3017.230	3017.303	3535.4	16666.7	7617.2	Twitter	0	0	0	0			
103	Spectrogram 1	5	3017.356	3017.422	2020.2	17676.8	7617.2	Twitter	0	0	0	0			
104	Spectrogram 1	5	3017.485	3017.541	1262.6	17424.2	7421.9	Twitter	0	0	0	0			
105	Spectrogram 1	5	3017.604	3017.667	3535.4	19444.4	7617.2	Twitter	0	0	0	0			
106	Spectrogram 1	5	3017.707	3017.783	1262.6	18939.4	7421.9	Twitter	0	0	0	0			
107	Spectrogram 1	5	3017.836	3017.889	1262.6	17171.7	8007.8	Twitter	0	0	0	0			
108	Spectrogram 1	5	3017.952	3017.996	4000.0	18000.0	7812.5	Trill	1.153568	5.999197	47.036791	0.539370			
120	Spectrogram 1	5	3280.719	3280.782	2272.7	17676.8	7617.2	Twitter	0	0	0	0			
121	Spectrogram 1	5	3280.844	3280.918	4000.0	18000.0	7617.2	Twitter	1.098742	5.313667	39.414183	0.424361			
122	Spectrogram 1	5	3280.970	3281.014	4000.0	18000.0	7617.2	Twitter	0.746409	4.611589	49.561397	0.402999			
123	Spectrogram 1	5	3281.090	3281.134	4000.0	18000.0	7617.2	Twitter	0.856305	5.606680	49.838596	0.584551			
241	Spectrogram 1	5	3281.330	3281.360	4000.0	18000.0	8593.7	Trillphee	4.966604	6.604222	43.316998	0.000000	1.220021	2.381888	Table 1
124	Spectrogram 1	5	3282.736	3282.799	3535.4	18181.8	10742.2	Twitter	0	0	0	0			
125	Spectrogram 1	5	3282.892	3282.951	2020.2	17171.7	11523.4	Twitter	0	0	0	0			
126	Spectrogram 1	5	3283.034	3283.078	4000.0	18000.0	7421.9	Twitter	1.281241	6.633028	41.185146	0.649231			
127	Spectrogram 1	5	3283.166	3283.204	4000.0	18000.0	7812.5	Trill	1.247566	4.212112	39.057622	0.341718			
233	Spectrogram 1	5	3283.320	3283.350	4000.0	18000.0	8593.7	P-peep	5.293825	11.100379	68.927263	0.000000	0.713297	3.455387	Table 1
238	Spectrogram 1	5	3283.960	3284.600	4000.0	18000.0	8007.8	Phee	5.151188	12.317282	82.962418	0.000000	2.002340	5.799874	Table 1
130	Spectrogram 1	5	3398.868	3398.924	4000.0	18000.0	7421.9	Twitter	1.705806	7.829561	48.591877	0.991838			
131	Spectrogram 1	5	3399.000	3399.068	4000.0	18000.0	7617.2	Twitter	1.861267	7.175451	40.598331	0.909987			
132	Spectrogram 1	5	3399.126	3399.176	4000.0	18000.0	7421.9	Twitter	2.252157	8.527979	52.544750	1.535695			
133	Spectrogram 1	5	3399.258	3399.308	4000.0	18000.0	7421.9	Twitter	1.963590	8.346163	42.772442	1.297677			
134	Spectrogram 1	5	3399.378	3399.428	4000.0	18000.0	7421.9	Twitter	2.184733	8.977169	52.318209	1.534941			
135	Spectrogram 1	5	3399.492	3399.542	4000.0	18000.0	7421.9	Twitter	2.545191	8.801784	56.147190	1.664606			
136	Spectrogram 1	5	3399.612	3399.668	4000.0	18000.0	8789.1	Trill	1.150088	3.822945	48.154614	0.307956			
137	Spectrogram 1	5	3399.732	3399.782	4000.0	18000.0	8398.4	P-peep	0.553661	3.629177	53.835603	0.228475			
138	Spectrogram 1	5	3400.062	3400.758	3472.2	18287.0	8398.4	Trillphee	0	0	0	0			
239	Spectrogram 1	5	3453.520	3454.020	4000.0	18000.0	8593.7	Phee	8.679693	14.666767	113.905232	0.000000	0.445447	7.231388	Table 1
184	Spectrogram 1	5	4010.473	4010.536	4000.0	18000.0	7617.2	Trill	3.751231	6.442484	31.031603	0.922222			
186	Spectrogram 1	5	4076.566	4076.778	4000.0	18000.0	7617.2	Trill	6.335834	10.866146	35.332345	2.166555			
187	Spectrogram 1	5	4076.860	4076.916	2777.8	17592.6	7421.9	Trill	0	0	0	0			
190	Spectrogram 1	5	4085.950	4086.018	4000.0	18000.0	7812.5	Trill	4.636625	5.813323	45.262472	1.674028			
191	Spectrogram 1	5	4086.082	4086.150	4000.0	18000.0	7812.5	Trill	1.884333	3.957113	43.481073	0.641029			
192	Spectrogram 1	5	4089.634	4089.702	4000.0	18000.0	8398.4	Trill	1.942714	4.049999	35.482406	0.775160			
193	Spectrogram 1	5	4089.736	4089.870	4000.0	18000.0	8398.4	Trill	1.780165	3.542681	44.075794	0.757059			
194	Spectrogram 1	5	4096.229	4096.818	4000.0	18000.0	8203.1	Phee	0.611495	2.885954	45.198021	0.223053			
197	Spectrogram 1	5	4119.998	4120.648	4000.0	18000.0	8398.4	Trill	2.794236	5.047143	42.640724	1.078582			
200	Spectrogram 1	5	4283.316	4283.804	4000.0	18000.0	7617.2	Trill	1.827801	4.364527	36.857715	0.678858			
202	Spectrogram 1	5	4289.140	4289.653	3282.8	18686.9	8203.1	Trill	0	0	0	0			
203	Spectrogram 1	5	4296.452	4296.756	2525.3	18181.8	8007.8	Trill	0	0	0	0			
207	Spectrogram 1	5	4335.878	4336.616	4000.0	18000.0	7421.9	Trillphee	4.274785	6.191978	44.426694	1.716875			
208	Spectrogram 1	5	4371.575	4372.360	3535.4	16919.2	7226.6	Trill	0	0	0	0			
217	Spectrogram 1	5	4379.666	4380.328	2777.8	16666.7	7226.6	Trillphee	0	0	0	0			
5	Spectrogram 1	6	105.559	106.109	4000.0	18000.0	7421.9	Trill	-1.267268	4.297535	34.824515	0.356166			
244	Spectrogram 1	6	152.110	153.590	4000.0	18000.0	4101.6	Trill	4.085146	17.808286	73.458776	0.000000	-1.174279	4.216880	Table 1
14	Spectrogram 1	6	231.466	232.462	4000.0	18000.0	7812.5	Trillphee	-5.280321	11.659817	51.231568	2.208970			
15	Spectrogram 1	6	295.556	295.750	4000.0	18000.0	7617.2	P-peep	-1.479546	4.479549	55.818505	0.352505			
16	Spectrogram 1	6	310.436	310.529	3703.7	17824.1	7421.9	P-peep	0	0	0	0			
235	Spectrogram 1	6	480.900	481.346	4000.0	18000.0	8007.8	Trill	5.742451	6.976655	50.688633	0.000000	-1.596009	2.794668	Table 1
47	Spectrogram 1	6	985.494	986.588	4000.0	18000.0	7421.9	Phee	-2.908970	9.173810	84.512366	0.805344			
230	Spectrogram 1	6	1213.710	1213.810	4000.0	18000.0	6640.6	Sd-peep	6.377793	16.250218	89.054679	0.000000	-1.925666	3.528341	Table 1
62	Spectrogram 1	6	1503.798	1504.022	4000.0	18000.0	7031.2	Sd-peep	-0.612636	4.880732	68.396685	0.250873			
63	Spectrogram 1	6	1506.527	1506.673	3935.2	17824.1	6640.6	P-peep	0	0	0	0			
231	Spectrogram 1	6	1511.700	1511.880	4000.0	18000.0	6835.9	Sd-peep	4.250100	16.140970	69.517770	0.000000	-0.790620	2.506143	Table 1
67	Spectrogram 1	6	1561.980	1562.108	4000.0	18000.0	6835.9	Sd-peep	-1.042086	3.641453	75.567873	0.377393			
70	Spectrogram 1	6	1839.846	1839.920	4000.0	18000.0	6445.3	Sd-peep	-2.288141	5.145709	72.228449	0.643278			
245	Spectrogram 1	6	2275.520	2275.570	4000.0	18000.0	7031.2	Trill	6.741168	8.160369	62.329192	0.000000	-0.820609	2.667600	Table 1
75	Spectrogram 1	6	2518.138	2518.218	4000.0	18000.0	7226.6	Sd-peep	-2.118855	7.280899	49.719620	1.829169			
77	Spectrogram 1	6	2775.486	2775.620	4000.0	18000.0	7226.6	Sd-peep	-0.806807	3.347481	64.826123	0.328004			
78	Spectrogram 1	6	2777.316	2777.372	4000.0	18000.0	7226.6	Trill	-2.427260	6.923048	49.225766	1.959932			
84	Spectrogram 1	6	2841.484	2842.014	4000.0	18000.0	7617.2	Trill	-2.012359	8.235116	41.932949	1.067651			
246	Spectrogram 1	6	2842.060	2842.170	4000.0	18000.0	8007.8	Trill	3.926011	5.345085	36.495637	0.000000	-1.168366	3.007680	Table 1
88	Spectrogram 1	6	2884.636	2884.698	4000.0	18000.0	7617.2	Trill	-4.291154	12.023634	42.088210	1.335811			
89	Spectrogram 1	6	2884.744	2884.812	4000.0	18000.0	8203.1	Trill	-1.132587	5.822503	38.506976	0.464264			
90	Spectrogram 1	6	2884.850	2884.921	3250.0	17750.0	8203.1	Trill	0	0	0	0			
91	Spectrogram 1	6	2884.947	2884.991	3250.0	17750.0	8203.1	Trill	0	0	0	0			
92	Spectrogram 1	6	2885.068	2885.100	4000.0	18000.0	8398.4	P-peep	-0.590993	4.064332	29.711551	0.240862			
93	Spectrogram 1	6	2885.218	2885.256	4000.0	18000.0	8593.7	P-peep	-1.112182	3.413145	31.376158	0.217847			
94	Spectrogram 1	6	2885.290	2885.352	4000.0	18000.0	8203.1	P-peep	-0.755008	4.230812	40.198586	0.328328			
95	Spectrogram 1	6	2885.614	2885.688	4000.0	18000.0	8398.4	P-peep	-1.279475	5.089437	43.032214	0.404589			
96	Spectrogram 1	6	2885.716	2885.892	4000.0	18000.0	8789.1	P-peep	-1.303055	4.120692	51.245689	0.462195			
109	Spectrogram 1	6	3028.434	3028.815	4000.0	18000.0	7031.2	Trill	-11.721257	15.147961	54.027810	7.096806			
110	Spectrogram 1	6	3032.070	3033.013	4000.0	18000.0	8007.8	Trillphee	-6.705507	13.619235	57.791847	3.901654			
111	Spectrogram 1	6	3033.225	3033.686	4000.0	18000.0	9179.7	Phee	-4.175246	9.606351	49.913122	1.575011			
113	Spectrogram 1	6	3127.126	3127.230	4000.0	18000.0	7617.2	Trill	-5.059953	9.755442	64.893626	3.247092			
